question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
78,এটা টেংকি 6 ডাল পাইপৰ সহায়েৰে 80 মিনিটত পূৰ্ণ কৰিব পাৰি। টেংকিটো 8 ডাল পাইপৰ সহায়েৰে পূৰ্ণ কৰিবলৈ কিমান,45 min,60 min,48 min,70 min 78. ¤È¬± ŒÈ¬—øﬂ¬ 6 Î¬±˘ ¬Û±˝◊¬Û1 ¸˝±À˚˛À1 80 ø˜øÚÈ¬Ó¬ ¬Û”Ì« ﬂ¬ø1¬ı ¬Û±ø1º ŒÈ¬—øﬂ¬ÀÈ¬± 8 Î¬±˘ ¬Û±˝◊¬Û1 ¸˝±À˚˛À1 ¬Û”Ì« ﬂ¬ø1¬ıÕ˘ øﬂ¬˜±Ú ¸˜˚˛1 √õ∂À˚˛±ÊÚ ˝í¬ı ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (60 min). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
79,"এগৰাকী আইতাই বনভোজত ৰান্ধি আছিল। বনভোজটোত চামিল আছিল আইতাগৰাকীৰ পুত্ৰ আৰু পুত্ৰবধু, নিজ নিজ পত্নীৰে সৈতে তেওঁলোকৰ চাৰিজন পুত্ৰ আৰু চাৰিপুত্ৰৰ প্ৰতিজনৰে এজনকৈ পুত্ৰ আৰু দুজনীকৈ জীয়াৰী । বনভোজটোত মুঠতে মহিলাৰ সংখ্যা কিমান আছিল ?",8,12,14,"10 79. ¤·1±ﬂ¬œ ’±˝◊Ó¬±˝◊ ¬ıÚÀˆ¬±ÊÓ¬ 1±øg¬ ’±øÂ˘º ¬ıÚÀˆ¬±ÊÀÈ¬±Ó¬ ‰¬±ø˜˘ ’±øÂ˘ ’±˝◊Ó¬±·1±ﬂ¬œ1 ¬Û≈S ’±1n ¬Û≈S¬ıÒ≈, øÚÊ øÚÊ ¬ÛPœÀ1 ∆¸ÀÓ¬ ŒÓ¬›“À˘±ﬂ¬1 ‰¬±ø1ÊÚ ¬Û≈S ’±1n ‰¬±ø1¬Û≈S1 √õ∂øÓ¬ÊÚÀ1 ¤ÊÚÕﬂ¬ ¬Û≈S ’±1n ≈ÊÚœÕﬂ¬ Êœ˚˛±1œº ¬ıÚÀˆ¬±ÊÀÈ¬±Ó¬ ˜≈Í¬ÀÓ¬ ˜ø˝˘±1 ¸—‡…± øﬂ¬˜±Ú ’±øÂ˘ ∑",C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (14). Therefore, option C is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
81,টি আও কোনবিধ খেলত ভাৰতীয় দলৰ অধিনায়ক আছিল?,Badminton,Hockey,Football,Volleyball 81. øÈ¬ ’±› Œﬂ¬±Úø¬ıÒ Œ‡˘Ó¬ ˆ¬±1Ó¬œ˚˛ ˘1 ’øÒÚ±˚˛ﬂ¬ ’±øÂ˘∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Football). Therefore, option C is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
82,এটা দলত থকা কেইজনমান ল’ৰাৰ মাজত 72 সংখ্যক টফি বিতৰণ কৰা হ’ল। দলৰ প্রতিজন ল’ৰাৰ ভাগত পৰা টফিৰ সংখ্যা দলত থকা মুঠ লৰাৰ সংখ্যাৰ দুগুণৰ সমান। দলটোত থকা ল’ৰাৰ মুঠ সংখ্যা হৈছেঃ,6,7,8,9 82. ¤È¬± ˘Ó¬ Ôﬂ¬± Œﬂ¬˝◊ÊÚ˜±Ú ˘í1±1 ˜±ÊÓ¬ 72 ¸—‡…ﬂ¬ È¬øÙ¬ ø¬ıÓ¬1Ì ﬂ¬1± ˝í˘º ˘1 √õ∂øÓ¬ÊÚ ˘í1±1 ˆ¬±·Ó¬ ¬Û1± È¬øÙ¬1 ¸—‡…± ˘Ó¬ Ôﬂ¬± ˜≈Í¬ ˘1±1 ¸—‡…±1 ≈&Ì1 ¸˜±Úº ˘ÀÈ¬±Ó¬ Ôﬂ¬± ˘í1±1 ˜≈Í¬ ¸—‡…± ∆˝ÀÂ –,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (6). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
84,কোন সিংহাসনৰ বাবে গোলাপৰ যুদ্ধ (Wars of the Roses) নামৰ গৃহযুদ্ধ লানি সংঘটিত হৈছিল ?,British throne,French throne,Russian throne,Spanish throne 84. Œﬂ¬±Ú ø¸—˝±¸Ú1 ¬ı±À¬ı Œ·±˘±¬Û1 ˚≈X√ (Wars of the Roses) Ú±˜1 ·‘˝˚≈X√ ˘±øÚ ¸—‚øÈ¬Ó¬ ∆˝øÂ˘ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (British throne). Therefore, option A is the answer.",General Science,General Science / General Awareness
85,নিম্নলিখিত কথনসমূহৰ কোনটো সঠিক ?,Sikkim shares border with Assam,Sikkim lies towards the west of Assam,Assam shares borders with Sikkim and Meghalaya,Bangladesh and Sikkim touch the borders of Assam. 85. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± Î◊¬øMê qX√ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Sikkim lies towards the west of Assam). Therefore, option B is the answer.",General Science,General Science / General Awareness
86,টাইকোৱাণ্ডো নামৰ সমৰ কলাটোৰ উৎপত্তি কোন দেশত হৈছিল ?,Thailand,China,Korea,Vietnam 86. È¬±˝◊Àﬂ¬±ª±ÀG± Ú±˜1 ¸˜1 √ﬂ¬˘±ÀÈ¬±1 Î◊¬»¬ÛøM Œﬂ¬±Ú Œ˙Ó¬ ∆˝øÂ˘ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Korea). Therefore, option C is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
87,নিম্নলিখিত কোনটো অণশুদ্ধভাবে যোৰা মিলোৱা হৈছে ?,Class I lever : Pliers,Class II lever : Nail cutter,Class III lever : Nutcracker,Class II lever : Bottle opener 87. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ’qX√ˆ¬±À¬ı Œ˚±1± ø˜À˘±ª± ∆˝ÀÂ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Class III lever : Nutcracker). Therefore, option C is the answer.",General Science,General Science / General Awareness
88,"1 লা জানুৱাৰী, 2024 সাপেক্ষে ইউক্ৰেইনৰ ৰাষ্ট্পতি কোন ?",Joe Biden,Vladimir Putin,Valerii Zaluzhn,"Volodymyr Zelenskyy 88. 1 ˘± Ê±Ú≈ª±1œ, 2024 ¸±À¬ÛÀé¬ ˝◊Î◊¬ÀSê˝◊Ú1 1±©Üò¬ÛøÓ¬ Œﬂ¬±Ú ∑",D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Volodymyr Zelenskyy 88. 1 ˘± Ê±Ú≈ª±1œ, 2024 ¸±À¬ÛÀé¬ ˝◊Î◊¬ÀSê˝◊Ú1 1±©Üò¬ÛøÓ¬ Œﬂ¬±Ú ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
89,কোনখন নগৰীত পদ্মনাভস্বামী মন্দিৰ অৱস্থিত ?,Bengaluru,Chennai,Madurai,Thiruvananthapuram 89. Œﬂ¬±Ú‡Ú Ú·1œÓ¬ ¬ÛΩÚ±ˆ¬¶§±˜œ ˜øµ1 ’ªø¶öÓ¬ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Thiruvananthapuram 89. Œﬂ¬±Ú‡Ú Ú·1œÓ¬ ¬ÛΩÚ±ˆ¬¶§±˜œ ˜øµ1 ’ªø¶öÓ¬ ∑). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
90,কোনে অলিম্পিক খেলত সৰ্বোচ্চ সংখ্যক সোণৰ পদক লাভ কৰিছে ?,Mark Spitz,Michael Phelps,Jesse Owens,Paavo Nurmi 90. Œﬂ¬±ÀÚ ’ø˘ø•Ûﬂ¬ Œ‡˘Ó¬ ¸À¬ı«±2‰¬ ¸—‡…ﬂ¬ Œ¸±Ì1 ¬Ûﬂ¬ ˘±ˆ¬ ﬂ¬ø1ÀÂ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Michael Phelps). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
91,চাণক্য কোন গৰাকী সম্ৰাটৰ ৰাজকীয় উপদেষ্টা আছিল 2,Samudragupta,Ashoka,Chandragupta Maurya,Skandagupta 91. ‰¬±Ìﬂ¬… Œﬂ¬±Ú ·1±ﬂ¬œ ¸•⁄±È¬1 1±Êﬂ¬œ˚˛ Î◊¬¬ÛÀ©Ü± ’±øÂ˘ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Chandragupta Maurya). Therefore, option C is the answer.",General Science,General Science / General Awareness
92,নিম্নলিখিত কোনখন দেশক ভূমধ্যসাগৰে স্পৰ্শ নকৰে ?,Spain,Portugal,Lebanon,France 92. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú‡Ú Œ˙ﬂ¬ ˆ”¬˜Ò…¸±·À1 ¶Û˙« Úﬂ¬À1 ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Portugal). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
93,প্রদত্ত পাঁচটা সংখ্যা হৈছে (i) 736 (ii) 269 (iii) 958 (iv) 219 (v) 793 প্রতিটো সংখ্যাৰে অংক কেইটা অধঃক্ৰমত সজোৱাৰ পিছত সৰ্বোচ্চ আৰু সৰ্বনিম্ন সংখ্যাকেইটাৰ মাজৰ পাৰ্থক্যৰ মান কি হ'ব ?,222,716,618,12 93. √õ∂M ¬¬Û±“‰¬È¬± ¸—‡…± ∆˝ÀÂ – (i) 736 (ii) 269 (iii) 958 (iv) 219 (v) 793 √õ∂øÓ¬ÀÈ¬± ¸—‡…±À1 ’—ﬂ¬ Œﬂ¬˝◊È¬± ’Ò–Sê˜Ó¬ ¸ÀÊ±ª±1 ø¬ÛÂÓ¬ ¸À¬ı«±2‰¬ ’±1n ¸¬ı«øÚ•ß ¸—‡…±Àﬂ¬˝◊È¬±1 ˜±Ê1 ¬Û±Ô«ﬂ¬…1 ˜±Ú øﬂ¬ ˝í¬ı ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (222). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
94,জোঙাল Vere প্ৰতিমূৰ্ত্তি কোন স্থানৰ সমীপত স্থাপন কৰা হৈছে ?,Raha,Dibrugarh,Dhuburi,Karimganj 94. ŒÊ±„±˘ ¬ı˘U1 √õ∂øÓ¬˜”øM« Œﬂ¬±Ú ¶ö±Ú1 ¸˜œ¬ÛÓ¬ ¶ö±¬ÛÚ ﬂ¬1± ∆˝ÀÂ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Raha). Therefore, option A is the answer.",General Science,General Science / General Awareness
95,নিম্নলিখিত কোনগৰাকী ল’ন টেনিছ খেলুৱৈ নহয় ?,Leander Paes,Vijay Amritraj,Mahesh Bhupathi,Pullela Gopichand 95. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú·1±ﬂ¬œ ˘íÚ ŒÈ¬øÚÂ Œ‡˘≈Õª Ú˝˚˛ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Pullela Gopichand 95. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú·1±ﬂ¬œ ˘íÚ ŒÈ¬øÚÂ Œ‡˘≈Õª Ú˝˚˛ ∑). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
96,নিম্নলিখিত কোনটো হৈছে অসমৰ এক তাঁৰযুক্ত বাদ্যযন্ত্ৰ ?,Dogor,Xutuli,Kaaliya,Tokari 96. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ∆˝ÀÂ ’¸˜1 ¤ﬂ¬ Ó¬±“1˚≈Mê ¬ı±…˚La ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Tokari 96. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ∆˝ÀÂ ’¸˜1 ¤ﬂ¬ Ó¬±“1˚≈Mê ¬ı±…˚La ∑). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
97,এক ছয়পিঠিয়া পাশা গুটিত বিন্দুসমূহ এনেদৰে আছে যাতে প্রতি বিপৰীত পিঠিৰ বিন্দুৰ মুঠ যোগফল সদায় সমান। নিম্নলিখিত কোন যোৰা বিন্দুসংখ্যা পৰস্পৰ বিপৰীত পিঠিত নাই ?,"1, 4","2, 5","1, 6","3, 4 97. ¤ﬂ¬ Â˚˛ø¬ÛøÍ¬˚˛± ¬Û±˙± &øÈ¬Ó¬ ø¬ıµ≈¸˜”˝ ¤ÀÚÀ1 ’±ÀÂ ˚±ÀÓ¬ √õ∂øÓ¬ ø¬ı¬Û1œÓ¬ ø¬ÛøÍ¬1 ø¬ıµ≈1 ˜≈Í¬ Œ˚±·Ù¬˘ ¸±˚˛ ¸˜±Úº øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú Œ˚±1± ø¬ıµ≈¸—‡…± ¬Û1¶Û1 ø¬ı¬Û1œÓ¬ ø¬ÛøÍ¬Ó¬ Ú±˝◊ ∑",A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (1, 4). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
99,নিম্নলিখিত কোনটো ভাৰতৰ পৰোক্ষ কৰৰ এক উদাহৰণ ?,Gift Tax,Income Tax,Goods and Services Tax,Capital Gains Tax 99. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ˆ¬±1Ó¬1 ¬¬ÛÀ1±é¬ ﬂ¬11 ¤ﬂ¬ Î◊¬±˝1Ì ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Goods and Services Tax). Therefore, option C is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
101,প্ৰাইড ae প্ৰিজুড্ছিখন কোনে লিখিছিল ?,Jane Austen,Barbara Cartland,Agatha Christie,Virginia Woolfe 101. √õ∂±˝◊Î¬ ¤G ø√õ∂Ê≈øÎ¬Â ‡Ú Œﬂ¬±ÀÚ ø˘ø‡øÂ˘ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Jane Austen). Therefore, option A is the answer.",English,"Vocabulary, Grammar, Usage & Comprehension"
102,"যদি sind = ০০৪০, তেন্তে 1+ tand ৰ মান 2",1,2,0,"2 102. ˚ø sinθ=cosθ, ŒÓ¬ÀôL 1+tanθ 1 ˜±Ú –",B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (2). Therefore, option B is the answer.",General Science,General Science / General Awareness
103,দ্বিঘাত সমীকৰণ 2x? — 5x +6=0 ৰ সমাধান কেইটাৰ পূৰণফল হৈছেঃ,2,3,5,6 103. ø Z‚±Ó¬ ¸˜œﬂ¬1Ì 2x2−5x+6=0 1 ¸˜±Ò±Ú Œﬂ¬˝◊È¬±1 ¬Û”1ÌÙ¬˘ ∆˝ÀÂ –,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (3). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
104,বিকল্পৰ তালিকাত কোনটো অমিল ?,Chapters,Preface,Index,Book 104. ø¬ıﬂ¬ä1 Ó¬±ø˘ﬂ¬±Ó¬ Œﬂ¬±ÚÀÈ¬± ’ø˜˘ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Book 104. ø¬ıﬂ¬ä1 Ó¬±ø˘ﬂ¬±Ó¬ Œﬂ¬±ÚÀÈ¬± ’ø˜˘ ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
105,50 জন শিক্ষাৰ্থীৰ এটা শ্ৰেণী পৰীক্ষাৰ 100 নম্বৰৰ ভিতৰত প্রাপ্ত গড় নম্বৰ হৈছে 45.5। পুনৰীক্ষণত দেখা গ’ল যে এটা তথ্য অন্তৰ্ভুক্তিত 8চ ৰ ঠাইত ভুলকৈ 58 বুলি নম্বৰ অন্তৰ্ভুক্ত কৰা হৈছে। শ্ৰেণীটোত প্রাপ্ত নম্বৰৰ শুদ্ধ গড়মান কিমান হোৱা উচিৎ ?,54.50,46.04,46.40,55.40 105. 50 ÊÚ ø˙é¬±Ô«œ1 ¤È¬± Œ|Ìœ ¬Û1œé¬±1 100 Ú•§11 øˆ¬Ó¬1Ó¬ √õ∂±5 ·Î¬ˇ Ú•§1 ∆˝ÀÂ 45.5º ¬Û≈Ú1œé¬ÌÓ¬ Œ‡± ·í˘ Œ˚ ¤È¬± Ó¬Ô… ’ôLˆ«≈¬øMêÓ¬ 85 1 Í¬±˝◊Ó¬ ˆ≈¬˘Õﬂ¬ 58 ¬ı≈ø˘ Ú•§1 ’ôLˆ«≈¬Mê ﬂ¬1± ∆˝ÀÂº Œ|ÌœÀÈ¬±Ó¬ √õ∂±5 Ú•§11 qX√ ·Î¬ˇ˜±Ú øﬂ¬˜±Ú Œ˝±ª± Î◊¬ø‰¬» ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (46.04). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
106,লাডাখৰ চিয়াছেন কোনটোৰ এক উদাহৰণ ?,Cold desert,Glacier,Plateau,Snow mountain 106. ˘±Î¬±‡1 ø‰¬˚˛±ÀÂÚ Œﬂ¬±ÚÀÈ¬±1 ¤ﬂ¬ Î◊¬±˝1Ì ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Glacier). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
107,GY আৰু কাশ্মীৰ অঞ্চলত নিম্নলিখিত কোনটো পৰ্বতমালা আছে ?,Pir Panjal range,Satpura range,Dhauladhar range,Mishimi Hills 107. Ê•ú≈ ’±1n ﬂ¬±ù¨œ1 ’=˘Ó¬ øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ¬Û¬ı«Ó¬˜±˘± ’±ÀÂ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Pir Panjal range). Therefore, option A is the answer.",General Science,General Science / General Awareness
108,দ্বিঘাত সমীকৰণ 2%2- 5%43 =) ৰ সমাধান কেইটাৰ মুঠ যোগফল CARE 3 5,2,,,5 2 2 108. ø Z‚±Ó¬ ¸˜œﬂ¬1Ì 2x2−5x+3=0 1 ¸˜±Ò±Ú Œﬂ¬˝◊È¬±1 ˜≈Í¬ Œ˚±·Ù¬˘ ∆˝ÀÂ – 3 5,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
109,ডোৰেম'ন কি অথবা কোন ?,A river in Brazil,A Hollywood actor,A type of aircraft,A cartoon character 109. ŒÎ¬±À1˜íÚ øﬂ¬ ’Ô¬ı± Œﬂ¬±Ú ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (A cartoon character 109. ŒÎ¬±À1˜íÚ øﬂ¬ ’Ô¬ı± Œﬂ¬±Ú ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
110,"কোনবিধ খেলত মনালিচা বৰুৱা (মেহতা) আৰু, ত্ৰিদিব দুৱৰাই অসমক প্রতিনিধিত্ব কৰিছিল ?",Badminton,Volleyball,Taekwondo,Table Tennis 110. Œﬂ¬±Úø¬ıÒ Œ‡˘Ó¬ ˜Ú±ø˘‰¬± ¬ı1nª± [À˜˝Ó¬±] ’±1n øSø¬ı ≈ª1±˝◊ ’¸˜ﬂ¬ √õ∂øÓ¬øÚøÒQ ﬂ¬ø1øÂ˘ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Table Tennis 110. Œﬂ¬±Úø¬ıÒ Œ‡˘Ó¬ ˜Ú±ø˘‰¬± ¬ı1nª± [À˜˝Ó¬±] ’±1n øSø¬ı ≈ª1±˝◊ ’¸˜ﬂ¬ √õ∂øÓ¬øÚøÒQ ﬂ¬ø1øÂ˘ ∑). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
111,"এজন মানুহে বছৰি 6% সৰল সুতত ₹ 1,00,000 টকা 2 বছৰৰ বাবে ধাৰলৈ ল’লে আৰু বছৰি 6% চক্ৰবৃদ্ধি POSS 2 বছৰৰ বাবে সেই ধন বিনিয়োগ কৰিলে। ধাৰলৈ লোৱা ধন সুতে-মূলে পৰিশোধ কৰাৰ পাছত মানুহজনে অৰ্জন কৰা মুঠ লাভৰ পৰিমাণ হৈছে?",` 360,` 120,` 480,"` 240 111. ¤ÊÚ ˜±Ú≈À˝ ¬ıÂø1 6% ¸1˘ ¸≈Ó¬Ó¬ ` 1,00,000 È¬ﬂ¬± 2 ¬ıÂ11 ¬ı±À¬ı Ò±1Õ˘ ˘íÀ˘ ’±1n ¬ıÂø1 6% ‰¬Sê¬ı‘øX√ ¸≈Ó¬Ó¬ 2 ¬ıÂ11 ¬ı±À¬ı Œ¸˝◊ ÒÚ ø¬ıøÚÀ˚˛±· ﬂ¬ø1À˘º Ò±1Õ˘ Œ˘±ª± ÒÚ ¸≈ÀÓ¬-˜”À˘ ¬Ûø1À˙±Ò ﬂ¬1±1 ¬Û±ÂÓ¬ ˜±Ú≈˝ÊÀÚ ’Ê«Ú ﬂ¬1± ˜≈Í¬ ˘±ˆ¬1 ¬Ûø1˜±Ì ∆˝ÀÂ –",A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (` 360). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
112,প্ৰদত্ত চিত্ৰৰ শুদ্ধ দাপোণ প্রতিবিম্বটো চিনাক্ত কৰক।,,,,112. √õ∂M ø‰¬S1 qX√ ±À¬Û±Ì √õ∂øÓ¬ø¬ı•§ÀÈ¬± ø‰¬Ú±Mê ﬂ¬1ﬂ¬º,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct. Therefore, option B is the answer.",Reasoning,"Analogy, Series, Coding, Classification & Non-verbal Reasoning"
113,নিম্নলিখিত কোনটো সংগীত উদ্যোগৰ এক আছুতীয়া বঁটা ?,The Oscars,Emmy Awards,Golden Globe,Grammy Awards 113. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ¸—·œÓ¬ Î◊¬À…±·1 ¤ﬂ¬ ’±Â≈Ó¬œ˚˛± ¬ı“È¬± ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Grammy Awards 113. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ¸—·œÓ¬ Î◊¬À…±·1 ¤ﬂ¬ ’±Â≈Ó¬œ˚˛± ¬ı“È¬± ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
114,এজন মানুহে ₹ x হাৰত x সংখ্যক AAA SA কৰিলে। দোকানীজনে তেওঁক মুঠ ₹ x পৰিমাণৰ ৰেহাই প্রদান কৰাৰ পাছত তেওঁ ₹ 156 পৰিশোধ কৰিলে। ৰেহাই প্রদানৰ পাছত প্রতিটো সামগ্ৰীৰ ত্ৰয়মূল্য হৈছেঃ,` 13,` 12,` 16,` 14 114. ¤ÊÚ ˜±Ú≈À˝ ` x ˝±1Ó¬ x ¸—‡…ﬂ¬ ¸±˜·Ëœ Sê˚˛ ﬂ¬ø1À˘º Œ±ﬂ¬±ÚœÊÀÚ ŒÓ¬›“ﬂ¬ ˜≈Í¬ ` x ¬Ûø1˜±Ì1 Œ1˝±˝◊ √õ∂±Ú ﬂ¬1±1 ¬Û±ÂÓ¬ ŒÓ¬›“ ` 156 ¬Ûø1À˙±Ò ﬂ¬ø1À˘º Œ1˝±˝◊ √õ∂±Ú1 ¬Û±ÂÓ¬ √õ∂øÓ¬ÀÈ¬± ¸±˜·Ëœ1 Sê˚˛˜”˘… ∆˝ÀÂ –,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (` 12). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
115,বৰ্তমান ভাৰতত কোনবিধৰ গণতন্ত্ৰ প্ৰচলিত ?,Direct Democracy,Representative Democracy,Social Democracy,Totalitarian Democracy 115. ¬ıÓ«¬˜±Ú ˆ¬±1Ó¬Ó¬ Œﬂ¬±Úø¬ıÒ1 ·ÌÓ¬La √õ∂‰¬ø˘Ó¬ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Representative Democracy). Therefore, option B is the answer.",General Science,General Science / General Awareness
